State,Weather,Budget Level,Budget (INR),Transportation Options,Food,Hotels,Famous Places to Visit,Activities,Popularity,Reviews,Season,Language,Safety,Family-Friendly,Cultural Highlights
Manipur,Pleasant,Medium,32949,Cost Level: Low,Local Cuisine: 1654 INR per day,3-star: 3481 INR per night,"Kangla Fort, Loktak Lake","Boating, Trekking, Wildlife Safari",Moderate,3.6/5,Summer,Manipuri,Very Safe,No,Festival
Assam,Rainy,High,10982,Cost Level: High,Local Cuisine: 812 INR per day,Luxury Resort: 4644 INR per night,"Majuli Island, Kaziranga National Park",River Rafting,Moderate,3.6/5,Summer,Assamese,Safe for Solo Travelers,Yes,Local Traditions
Tripura,Pleasant,High,14668,Cost Level: Low,Local Cuisine: 760 INR per day,Luxury Resort: 3801 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Cultural Tours",High,4.0/5,Winter,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Local Traditions
Manipur,Chilly,High,10965,Cost Level: Low,Local Cuisine: 1823 INR per day,Luxury Resort: 2682 INR per night,"Loktak Lake, Kangla Fort","River Rafting, Wildlife Safari, Trekking",Low,4.5/5,Summer,Manipuri,Very Safe,No,Festival
Arunachal Pradesh,Pleasant,Medium,8095,Cost Level: High,Local Cuisine: 1309 INR per day,Homestay: 2100 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Cultural Tours",Moderate,4.1/5,Summer,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Manipur,Pleasant,Low,41628,Cost Level: High,Local Cuisine: 674 INR per day,3-star: 4871 INR per night,"Loktak Lake, Kangla Fort","River Rafting, Cultural Tours",High,4.2/5,Monsoon,Manipuri,Very Safe,No,Festival
Meghalaya,Sunny,High,48849,Cost Level: Low,Local Cuisine: 1122 INR per day,3-star: 1539 INR per night,"Cherrapunji, Living Root Bridges",Wildlife Safari,Low,4.7/5,Winter,"Khasi, Garo",Very Safe,No,Art Exhibitions
Arunachal Pradesh,Rainy,High,40745,Cost Level: Low,Local Cuisine: 882 INR per day,Homestay: 1578 INR per night,"Tawang Monastery, Ziro Valley","Boating, Cultural Tours",Low,4.6/5,Monsoon,"Hindi, English",Very Safe,No,Festival
Assam,Rainy,Low,15583,Cost Level: High,Local Cuisine: 1732 INR per day,Luxury Resort: 4960 INR per night,"Kaziranga National Park, Majuli Island",Cultural Tours,Moderate,4.9/5,Summer,Assamese,Moderately Safe,No,Art Exhibitions
Assam,Sunny,Low,22963,Cost Level: High,Local Cuisine: 1424 INR per day,Homestay: 2044 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, River Rafting, Wildlife Safari",Moderate,4.8/5,Monsoon,Assamese,Moderately Safe,No,Local Traditions
Assam,Rainy,High,34370,Cost Level: Low,Local Cuisine: 586 INR per day,3-star: 2875 INR per night,"Majuli Island, Kaziranga National Park","Boating, Wildlife Safari, Cultural Tours",Moderate,3.8/5,Winter,Assamese,Very Safe,Yes,Festival
Mizoram,Chilly,Low,21091,Cost Level: Low,Local Cuisine: 1473 INR per day,3-star: 3979 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Trekking",High,3.6/5,Winter,Mizo,Moderately Safe,No,Festival
Meghalaya,Sunny,High,39495,Cost Level: Low,Local Cuisine: 1587 INR per day,3-star: 2718 INR per night,"Living Root Bridges, Cherrapunji","Trekking, Boating, Cultural Tours",Low,3.6/5,Summer,"Khasi, Garo",Very Safe,No,Local Traditions
Mizoram,Rainy,Medium,16064,Cost Level: Low,Local Cuisine: 954 INR per day,Homestay: 2573 INR per night,"Vantawng Falls, Phawngpui National Park",River Rafting,Moderate,4.1/5,Summer,Mizo,Moderately Safe,Yes,Art Exhibitions
Meghalaya,Sunny,Low,31624,Cost Level: High,Local Cuisine: 1236 INR per day,Homestay: 2755 INR per night,"Living Root Bridges, Cherrapunji",Cultural Tours,High,4.4/5,Winter,"Khasi, Garo",Moderately Safe,No,Local Traditions
Meghalaya,Pleasant,Medium,27984,Cost Level: Low,Local Cuisine: 716 INR per day,3-star: 2724 INR per night,"Cherrapunji, Living Root Bridges","Cultural Tours, Wildlife Safari",High,4.2/5,Summer,"Khasi, Garo",Moderately Safe,Yes,Local Traditions
Manipur,Rainy,Low,49998,Cost Level: High,Local Cuisine: 998 INR per day,Luxury Resort: 3507 INR per night,"Loktak Lake, Kangla Fort","River Rafting, Wildlife Safari",High,4.5/5,Winter,Manipuri,Safe for Solo Travelers,No,Local Traditions
Nagaland,Chilly,Medium,43085,Cost Level: High,Local Cuisine: 1166 INR per day,3-star: 1373 INR per night,"Kohima War Cemetery, Dzükou Valley","Wildlife Safari, Cultural Tours",Moderate,3.6/5,Summer,"English, Nagamese",Safe for Solo Travelers,Yes,Festival
Manipur,Chilly,Low,42231,Cost Level: High,Local Cuisine: 1025 INR per day,Luxury Resort: 3905 INR per night,"Loktak Lake, Kangla Fort","Trekking, River Rafting, Wildlife Safari",Moderate,4.8/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Meghalaya,Sunny,Low,33545,Cost Level: Low,Local Cuisine: 1556 INR per day,Luxury Resort: 1870 INR per night,"Living Root Bridges, Cherrapunji","Boating, Trekking, River Rafting",Moderate,4.2/5,Summer,"Khasi, Garo",Very Safe,No,Festival
Mizoram,Rainy,High,12294,Cost Level: High,Local Cuisine: 1717 INR per day,Luxury Resort: 3117 INR per night,"Vantawng Falls, Phawngpui National Park","River Rafting, Trekking, Wildlife Safari",High,4.9/5,Winter,Mizo,Very Safe,Yes,Local Traditions
Manipur,Sunny,High,22849,Cost Level: Low,Local Cuisine: 1356 INR per day,Luxury Resort: 1932 INR per night,"Kangla Fort, Loktak Lake","Trekking, Boating, Cultural Tours",High,3.9/5,Summer,Manipuri,Moderately Safe,No,Art Exhibitions
Nagaland,Sunny,Medium,23873,Cost Level: Low,Local Cuisine: 1789 INR per day,3-star: 2437 INR per night,"Kohima War Cemetery, Dzükou Valley","River Rafting, Cultural Tours",Low,5.0/5,Monsoon,"English, Nagamese",Very Safe,No,Festival
Tripura,Sunny,High,41284,Cost Level: High,Local Cuisine: 1987 INR per day,3-star: 2628 INR per night,"Neermahal, Ujjayanta Palace","Cultural Tours, Wildlife Safari, Trekking",Low,4.7/5,Monsoon,"Bengali, Kokborok",Safe for Solo Travelers,Yes,Festival
Manipur,Pleasant,Medium,13068,Cost Level: Low,Local Cuisine: 1664 INR per day,3-star: 1501 INR per night,"Kangla Fort, Loktak Lake","Wildlife Safari, Trekking",Moderate,4.5/5,Monsoon,Manipuri,Safe for Solo Travelers,No,Festival
Mizoram,Rainy,High,46503,Cost Level: High,Local Cuisine: 752 INR per day,Homestay: 4690 INR per night,"Vantawng Falls, Phawngpui National Park","Boating, River Rafting, Wildlife Safari",High,4.6/5,Winter,Mizo,Moderately Safe,Yes,Festival
Assam,Pleasant,Medium,30353,Cost Level: Low,Local Cuisine: 1846 INR per day,Luxury Resort: 4074 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Boating, Wildlife Safari",Moderate,4.9/5,Monsoon,Assamese,Safe for Solo Travelers,No,Art Exhibitions
Mizoram,Rainy,Medium,10443,Cost Level: High,Local Cuisine: 669 INR per day,Luxury Resort: 1614 INR per night,"Phawngpui National Park, Vantawng Falls",Cultural Tours,Low,3.6/5,Monsoon,Mizo,Very Safe,Yes,Festival
Arunachal Pradesh,Chilly,Low,30358,Cost Level: High,Local Cuisine: 553 INR per day,3-star: 4672 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Wildlife Safari",Low,4.5/5,Summer,"Hindi, English",Very Safe,No,Festival
Assam,Rainy,High,29423,Cost Level: Low,Local Cuisine: 1058 INR per day,3-star: 1818 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Trekking, Cultural Tours",Moderate,4.0/5,Winter,Assamese,Safe for Solo Travelers,No,Art Exhibitions
Manipur,Chilly,Medium,6255,Cost Level: Low,Local Cuisine: 1706 INR per day,Luxury Resort: 3447 INR per night,"Kangla Fort, Loktak Lake","Boating, Cultural Tours",Moderate,4.2/5,Summer,Manipuri,Moderately Safe,Yes,Local Traditions
Manipur,Pleasant,Low,27648,Cost Level: High,Local Cuisine: 662 INR per day,3-star: 3797 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Trekking",High,4.3/5,Summer,Manipuri,Very Safe,Yes,Art Exhibitions
Tripura,Pleasant,High,22650,Cost Level: Low,Local Cuisine: 1577 INR per day,3-star: 4192 INR per night,"Ujjayanta Palace, Neermahal","Boating, Trekking",Low,3.6/5,Summer,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions
Nagaland,Rainy,Medium,12988,Cost Level: High,Local Cuisine: 834 INR per day,3-star: 1924 INR per night,"Kohima War Cemetery, Dzükou Valley",Trekking,Low,4.0/5,Winter,"English, Nagamese",Moderately Safe,Yes,Festival
Arunachal Pradesh,Pleasant,Low,22112,Cost Level: High,Local Cuisine: 1463 INR per day,Luxury Resort: 4562 INR per night,"Ziro Valley, Tawang Monastery",Cultural Tours,Moderate,4.3/5,Winter,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions
Manipur,Sunny,Low,46324,Cost Level: High,Local Cuisine: 965 INR per day,3-star: 3234 INR per night,"Kangla Fort, Loktak Lake","Wildlife Safari, Cultural Tours, River Rafting",High,3.9/5,Summer,Manipuri,Safe for Solo Travelers,No,Local Traditions
Arunachal Pradesh,Sunny,High,36027,Cost Level: High,Local Cuisine: 1696 INR per day,Homestay: 3122 INR per night,"Ziro Valley, Tawang Monastery","River Rafting, Cultural Tours, Wildlife Safari",High,3.9/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Art Exhibitions
Nagaland,Pleasant,Medium,20529,Cost Level: High,Local Cuisine: 963 INR per day,Homestay: 2172 INR per night,"Kohima War Cemetery, Dzükou Valley","Cultural Tours, River Rafting, Trekking",Moderate,4.7/5,Winter,"English, Nagamese",Moderately Safe,No,Art Exhibitions
Mizoram,Rainy,Medium,23815,Cost Level: Low,Local Cuisine: 866 INR per day,Luxury Resort: 3962 INR per night,"Phawngpui National Park, Vantawng Falls",Cultural Tours,Moderate,3.6/5,Monsoon,Mizo,Very Safe,Yes,Art Exhibitions
Arunachal Pradesh,Chilly,Low,9790,Cost Level: Low,Local Cuisine: 1575 INR per day,Homestay: 2731 INR per night,"Ziro Valley, Tawang Monastery",Trekking,Low,3.6/5,Winter,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Assam,Rainy,High,26224,Cost Level: Low,Local Cuisine: 1144 INR per day,3-star: 3898 INR per night,"Kaziranga National Park, Majuli Island","Cultural Tours, River Rafting, Boating",Low,4.7/5,Winter,Assamese,Very Safe,Yes,Local Traditions
Arunachal Pradesh,Pleasant,Low,19873,Cost Level: High,Local Cuisine: 1580 INR per day,Homestay: 4577 INR per night,"Tawang Monastery, Ziro Valley",Wildlife Safari,Low,4.5/5,Summer,"Hindi, English",Moderately Safe,Yes,Festival
Meghalaya,Pleasant,Low,39440,Cost Level: High,Local Cuisine: 917 INR per day,3-star: 3719 INR per night,"Living Root Bridges, Cherrapunji",Wildlife Safari,High,4.0/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Nagaland,Pleasant,High,49195,Cost Level: Low,Local Cuisine: 565 INR per day,Homestay: 4156 INR per night,"Kohima War Cemetery, Dzükou Valley","Cultural Tours, Boating",Low,4.2/5,Winter,"English, Nagamese",Very Safe,No,Festival
Arunachal Pradesh,Chilly,Medium,48410,Cost Level: Low,Local Cuisine: 1871 INR per day,Homestay: 3200 INR per night,"Tawang Monastery, Ziro Valley","Cultural Tours, Boating",Low,4.4/5,Winter,"Hindi, English",Moderately Safe,No,Festival
Mizoram,Chilly,Low,29745,Cost Level: Low,Local Cuisine: 1128 INR per day,Luxury Resort: 1852 INR per night,"Vantawng Falls, Phawngpui National Park","Wildlife Safari, Trekking, Cultural Tours",High,3.7/5,Winter,Mizo,Moderately Safe,No,Festival
Mizoram,Rainy,High,24874,Cost Level: High,Local Cuisine: 750 INR per day,Luxury Resort: 1255 INR per night,"Phawngpui National Park, Vantawng Falls",River Rafting,Moderate,3.8/5,Winter,Mizo,Moderately Safe,No,Local Traditions
Assam,Sunny,High,29897,Cost Level: Low,Local Cuisine: 1166 INR per day,Homestay: 3212 INR per night,"Majuli Island, Kaziranga National Park","Cultural Tours, Trekking, Boating",High,4.7/5,Winter,Assamese,Very Safe,No,Festival
Assam,Chilly,Medium,26153,Cost Level: High,Local Cuisine: 675 INR per day,Homestay: 3538 INR per night,"Majuli Island, Kaziranga National Park",Wildlife Safari,High,4.1/5,Winter,Assamese,Safe for Solo Travelers,No,Festival
Arunachal Pradesh,Rainy,Medium,11196,Cost Level: Low,Local Cuisine: 645 INR per day,Homestay: 3401 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, River Rafting",Low,4.7/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Art Exhibitions
Nagaland,Sunny,High,37104,Cost Level: High,Local Cuisine: 1001 INR per day,Luxury Resort: 2629 INR per night,"Dzükou Valley, Kohima War Cemetery","Trekking, River Rafting",Low,4.4/5,Monsoon,"English, Nagamese",Very Safe,Yes,Art Exhibitions
Nagaland,Rainy,High,25702,Cost Level: Low,Local Cuisine: 956 INR per day,3-star: 4499 INR per night,"Dzükou Valley, Kohima War Cemetery",River Rafting,Moderate,4.3/5,Winter,"English, Nagamese",Very Safe,Yes,Festival
Meghalaya,Chilly,Low,18897,Cost Level: Low,Local Cuisine: 825 INR per day,Luxury Resort: 4324 INR per night,"Living Root Bridges, Cherrapunji","Wildlife Safari, Boating",High,4.1/5,Summer,"Khasi, Garo",Very Safe,No,Festival
Meghalaya,Chilly,High,6533,Cost Level: Low,Local Cuisine: 634 INR per day,3-star: 4171 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,Low,4.2/5,Winter,"Khasi, Garo",Very Safe,No,Local Traditions
Assam,Rainy,Medium,15474,Cost Level: Low,Local Cuisine: 1083 INR per day,3-star: 1474 INR per night,"Kaziranga National Park, Majuli Island","Wildlife Safari, Trekking, Cultural Tours",Moderate,4.9/5,Winter,Assamese,Moderately Safe,No,Festival
Meghalaya,Chilly,High,33183,Cost Level: Low,Local Cuisine: 648 INR per day,Luxury Resort: 3470 INR per night,"Living Root Bridges, Cherrapunji",Cultural Tours,Moderate,4.1/5,Winter,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Meghalaya,Sunny,Low,36128,Cost Level: High,Local Cuisine: 1857 INR per day,3-star: 2335 INR per night,"Cherrapunji, Living Root Bridges",Trekking,Moderate,4.8/5,Summer,"Khasi, Garo",Safe for Solo Travelers,No,Art Exhibitions
Tripura,Chilly,Low,44587,Cost Level: High,Local Cuisine: 1615 INR per day,3-star: 2477 INR per night,"Ujjayanta Palace, Neermahal",River Rafting,Low,4.3/5,Summer,"Bengali, Kokborok",Very Safe,No,Local Traditions
Nagaland,Sunny,Low,19742,Cost Level: High,Local Cuisine: 1538 INR per day,Luxury Resort: 4467 INR per night,"Dzükou Valley, Kohima War Cemetery","Wildlife Safari, Cultural Tours",Low,4.6/5,Winter,"English, Nagamese",Moderately Safe,No,Local Traditions
Manipur,Rainy,Low,30345,Cost Level: Low,Local Cuisine: 1791 INR per day,Luxury Resort: 3318 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting, Cultural Tours",Low,3.7/5,Monsoon,Manipuri,Very Safe,Yes,Art Exhibitions
Meghalaya,Rainy,Low,41703,Cost Level: Low,Local Cuisine: 867 INR per day,Homestay: 4941 INR per night,"Living Root Bridges, Cherrapunji",Boating,Low,4.8/5,Summer,"Khasi, Garo",Safe for Solo Travelers,Yes,Local Traditions
Assam,Chilly,High,47142,Cost Level: High,Local Cuisine: 1773 INR per day,3-star: 3837 INR per night,"Kaziranga National Park, Majuli Island","Wildlife Safari, Trekking",Low,4.2/5,Winter,Assamese,Very Safe,Yes,Local Traditions
Nagaland,Rainy,Low,39958,Cost Level: Low,Local Cuisine: 1877 INR per day,Homestay: 2808 INR per night,"Kohima War Cemetery, Dzükou Valley","Wildlife Safari, River Rafting, Boating",Low,3.5/5,Winter,"English, Nagamese",Moderately Safe,No,Festival
Manipur,Rainy,Low,31575,Cost Level: Low,Local Cuisine: 1515 INR per day,Luxury Resort: 3060 INR per night,"Loktak Lake, Kangla Fort","Boating, Cultural Tours, Trekking",Low,5.0/5,Winter,Manipuri,Very Safe,No,Art Exhibitions
Nagaland,Sunny,Medium,20877,Cost Level: Low,Local Cuisine: 1194 INR per day,3-star: 1738 INR per night,"Kohima War Cemetery, Dzükou Valley","Boating, Trekking",Moderate,4.7/5,Winter,"English, Nagamese",Very Safe,Yes,Local Traditions
Arunachal Pradesh,Rainy,High,11290,Cost Level: High,Local Cuisine: 1517 INR per day,Luxury Resort: 3088 INR per night,"Ziro Valley, Tawang Monastery","Cultural Tours, Boating",Moderate,3.6/5,Monsoon,"Hindi, English",Safe for Solo Travelers,No,Local Traditions
Assam,Pleasant,Medium,7648,Cost Level: High,Local Cuisine: 536 INR per day,3-star: 2330 INR per night,"Kaziranga National Park, Majuli Island","Boating, Cultural Tours, River Rafting",Low,3.8/5,Monsoon,Assamese,Moderately Safe,Yes,Local Traditions
Manipur,Rainy,Medium,43761,Cost Level: Low,Local Cuisine: 955 INR per day,3-star: 1285 INR per night,"Kangla Fort, Loktak Lake","River Rafting, Boating, Wildlife Safari",Moderate,4.8/5,Winter,Manipuri,Moderately Safe,Yes,Festival
Manipur,Rainy,High,20446,Cost Level: High,Local Cuisine: 762 INR per day,Luxury Resort: 1984 INR per night,"Loktak Lake, Kangla Fort","Wildlife Safari, Trekking",High,4.9/5,Summer,Manipuri,Moderately Safe,No,Festival
Meghalaya,Sunny,High,31810,Cost Level: Low,Local Cuisine: 897 INR per day,3-star: 1502 INR per night,"Living Root Bridges, Cherrapunji","Wildlife Safari, River Rafting",High,3.9/5,Summer,"Khasi, Garo",Moderately Safe,Yes,Local Traditions
Arunachal Pradesh,Pleasant,Low,14697,Cost Level: Low,Local Cuisine: 1747 INR per day,Homestay: 4633 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Cultural Tours, River Rafting",Moderate,3.7/5,Monsoon,"Hindi, English",Very Safe,No,Local Traditions
Assam,Chilly,Low,11920,Cost Level: Low,Local Cuisine: 1417 INR per day,3-star: 4462 INR per night,"Majuli Island, Kaziranga National Park","Trekking, River Rafting",Low,3.6/5,Summer,Assamese,Safe for Solo Travelers,Yes,Festival
Nagaland,Rainy,High,34530,Cost Level: Low,Local Cuisine: 919 INR per day,Homestay: 2443 INR per night,"Kohima War Cemetery, Dzükou Valley",Cultural Tours,Low,3.7/5,Monsoon,"English, Nagamese",Moderately Safe,Yes,Local Traditions
Manipur,Pleasant,High,35694,Cost Level: Low,Local Cuisine: 1998 INR per day,3-star: 1429 INR per night,"Loktak Lake, Kangla Fort","Wildlife Safari, River Rafting",Moderate,3.9/5,Monsoon,Manipuri,Moderately Safe,No,Festival
Nagaland,Chilly,Medium,28276,Cost Level: High,Local Cuisine: 1352 INR per day,Luxury Resort: 3835 INR per night,"Kohima War Cemetery, Dzükou Valley","Cultural Tours, River Rafting",Low,4.7/5,Summer,"English, Nagamese",Very Safe,No,Festival
Assam,Pleasant,Low,42838,Cost Level: High,Local Cuisine: 832 INR per day,Homestay: 2209 INR per night,"Kaziranga National Park, Majuli Island",Wildlife Safari,Low,4.2/5,Winter,Assamese,Moderately Safe,No,Art Exhibitions
Tripura,Pleasant,High,6548,Cost Level: Low,Local Cuisine: 1871 INR per day,3-star: 1770 INR per night,"Neermahal, Ujjayanta Palace","Boating, Trekking, Wildlife Safari",Low,3.5/5,Winter,"Bengali, Kokborok",Moderately Safe,No,Art Exhibitions
Assam,Chilly,Medium,19524,Cost Level: Low,Local Cuisine: 1132 INR per day,Homestay: 3564 INR per night,"Majuli Island, Kaziranga National Park",River Rafting,High,4.5/5,Winter,Assamese,Moderately Safe,No,Festival
Assam,Pleasant,High,35566,Cost Level: Low,Local Cuisine: 1795 INR per day,3-star: 3085 INR per night,"Majuli Island, Kaziranga National Park","Wildlife Safari, Boating",Low,3.9/5,Summer,Assamese,Very Safe,No,Festival
Meghalaya,Chilly,High,40305,Cost Level: High,Local Cuisine: 1096 INR per day,Luxury Resort: 3308 INR per night,"Living Root Bridges, Cherrapunji",Cultural Tours,Low,4.4/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,No,Festival
Meghalaya,Sunny,Low,48302,Cost Level: High,Local Cuisine: 1953 INR per day,Homestay: 4442 INR per night,"Living Root Bridges, Cherrapunji","Wildlife Safari, Cultural Tours, Trekking",Moderate,3.9/5,Summer,"Khasi, Garo",Safe for Solo Travelers,Yes,Festival
Tripura,Rainy,Medium,30629,Cost Level: Low,Local Cuisine: 1949 INR per day,3-star: 1155 INR per night,"Ujjayanta Palace, Neermahal","River Rafting, Wildlife Safari, Boating",Moderate,3.7/5,Summer,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions
Meghalaya,Pleasant,Medium,7170,Cost Level: Low,Local Cuisine: 594 INR per day,Luxury Resort: 4310 INR per night,"Living Root Bridges, Cherrapunji","River Rafting, Wildlife Safari",Moderate,4.3/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Art Exhibitions
Arunachal Pradesh,Sunny,High,27982,Cost Level: High,Local Cuisine: 1440 INR per day,Homestay: 4940 INR per night,"Tawang Monastery, Ziro Valley","Wildlife Safari, Boating",Low,4.9/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Festival
Meghalaya,Pleasant,High,30485,Cost Level: High,Local Cuisine: 913 INR per day,3-star: 1197 INR per night,"Living Root Bridges, Cherrapunji",Boating,Low,4.4/5,Summer,"Khasi, Garo",Very Safe,No,Art Exhibitions
Mizoram,Rainy,High,27578,Cost Level: Low,Local Cuisine: 1879 INR per day,3-star: 2170 INR per night,"Vantawng Falls, Phawngpui National Park",Wildlife Safari,Moderate,4.5/5,Winter,Mizo,Safe for Solo Travelers,No,Art Exhibitions
Meghalaya,Rainy,High,7459,Cost Level: High,Local Cuisine: 1492 INR per day,3-star: 3692 INR per night,"Living Root Bridges, Cherrapunji",Trekking,Moderate,4.3/5,Summer,"Khasi, Garo",Very Safe,No,Art Exhibitions
Meghalaya,Rainy,Low,11224,Cost Level: High,Local Cuisine: 1905 INR per day,Homestay: 4131 INR per night,"Living Root Bridges, Cherrapunji",Boating,Low,3.9/5,Monsoon,"Khasi, Garo",Safe for Solo Travelers,Yes,Art Exhibitions
Meghalaya,Rainy,Medium,11882,Cost Level: High,Local Cuisine: 1560 INR per day,3-star: 4579 INR per night,"Living Root Bridges, Cherrapunji","Cultural Tours, River Rafting",Low,5.0/5,Summer,"Khasi, Garo",Moderately Safe,No,Art Exhibitions
Nagaland,Sunny,Low,17196,Cost Level: Low,Local Cuisine: 1749 INR per day,Luxury Resort: 4140 INR per night,"Kohima War Cemetery, Dzükou Valley","Cultural Tours, Trekking, Wildlife Safari",Moderate,4.9/5,Monsoon,"English, Nagamese",Safe for Solo Travelers,No,Festival
Meghalaya,Pleasant,High,23894,Cost Level: Low,Local Cuisine: 937 INR per day,Homestay: 2090 INR per night,"Living Root Bridges, Cherrapunji",River Rafting,Moderate,4.2/5,Monsoon,"Khasi, Garo",Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Rainy,High,29780,Cost Level: High,Local Cuisine: 750 INR per day,Luxury Resort: 1574 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Boating",Low,4.0/5,Monsoon,"Hindi, English",Moderately Safe,Yes,Festival
Tripura,Pleasant,High,30307,Cost Level: High,Local Cuisine: 1024 INR per day,Homestay: 2428 INR per night,"Ujjayanta Palace, Neermahal","Boating, River Rafting",Low,3.6/5,Summer,"Bengali, Kokborok",Very Safe,No,Art Exhibitions
Arunachal Pradesh,Pleasant,Low,22878,Cost Level: High,Local Cuisine: 1667 INR per day,Luxury Resort: 4755 INR per night,"Ziro Valley, Tawang Monastery","Wildlife Safari, Cultural Tours",High,3.8/5,Monsoon,"Hindi, English",Safe for Solo Travelers,Yes,Local Traditions
Manipur,Chilly,Medium,19745,Cost Level: High,Local Cuisine: 1111 INR per day,3-star: 4714 INR per night,"Loktak Lake, Kangla Fort",Trekking,High,4.5/5,Summer,Manipuri,Safe for Solo Travelers,No,Art Exhibitions
Arunachal Pradesh,Pleasant,High,40529,Cost Level: High,Local Cuisine: 1683 INR per day,Luxury Resort: 4560 INR per night,"Tawang Monastery, Ziro Valley","Trekking, River Rafting, Cultural Tours",Moderate,4.8/5,Winter,"Hindi, English",Moderately Safe,No,Festival
Assam,Rainy,Medium,5192,Cost Level: High,Local Cuisine: 1479 INR per day,Luxury Resort: 1270 INR per night,"Majuli Island, Kaziranga National Park",Cultural Tours,High,3.7/5,Winter,Assamese,Safe for Solo Travelers,Yes,Festival
Arunachal Pradesh,Chilly,Low,24937,Cost Level: High,Local Cuisine: 936 INR per day,Homestay: 4439 INR per night,"Ziro Valley, Tawang Monastery","Trekking, Cultural Tours, Boating",Moderate,4.2/5,Monsoon,"Hindi, English",Very Safe,No,Festival
Mizoram,Rainy,Medium,15566,Cost Level: Low,Local Cuisine: 1206 INR per day,3-star: 3457 INR per night,"Phawngpui National Park, Vantawng Falls","Trekking, Wildlife Safari",Moderate,4.0/5,Winter,Mizo,Moderately Safe,Yes,Festival
Manipur,Chilly,Medium,48601,Cost Level: High,Local Cuisine: 1372 INR per day,3-star: 1095 INR per night,"Loktak Lake, Kangla Fort",Wildlife Safari,Low,4.6/5,Summer,Manipuri,Very Safe,No,Local Traditions
Assam,Rainy,Medium,47580,Cost Level: High,Local Cuisine: 761 INR per day,Homestay: 2076 INR per night,"Majuli Island, Kaziranga National Park","River Rafting, Boating, Trekking",Low,4.1/5,Monsoon,Assamese,Safe for Solo Travelers,Yes,Local Traditions
Manipur,Sunny,Medium,9042,Cost Level: High,Local Cuisine: 1576 INR per day,Luxury Resort: 2417 INR per night,"Loktak Lake, Kangla Fort","Boating, River Rafting",High,3.7/5,Monsoon,Manipuri,Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Pleasant,Medium,29622,Cost Level: Low,Local Cuisine: 1502 INR per day,Luxury Resort: 2557 INR per night,"Tawang Monastery, Ziro Valley","Boating, River Rafting",High,4.6/5,Monsoon,"Hindi, English",Very Safe,Yes,Local Traditions
Tripura,Chilly,Medium,8461,Cost Level: High,Local Cuisine: 874 INR per day,3-star: 3221 INR per night,"Neermahal, Ujjayanta Palace","Boating, Cultural Tours",High,4.6/5,Summer,"Bengali, Kokborok",Moderately Safe,No,Art Exhibitions
Tripura,Sunny,Medium,18201,Cost Level: Low,Local Cuisine: 940 INR per day,3-star: 1393 INR per night,"Neermahal, Ujjayanta Palace",River Rafting,Low,4.9/5,Winter,"Bengali, Kokborok",Moderately Safe,Yes,Local Traditions
Assam,Pleasant,Medium,18101,Cost Level: Low,Local Cuisine: 782 INR per day,Homestay: 2231 INR per night,"Majuli Island, Kaziranga National Park","Trekking, Boating",Low,4.6/5,Monsoon,Assamese,Moderately Safe,Yes,Local Traditions
Mizoram,Sunny,High,33473,Cost Level: High,Local Cuisine: 1515 INR per day,3-star: 1876 INR per night,"Phawngpui National Park, Vantawng Falls","River Rafting, Trekking",Moderate,4.2/5,Summer,Mizo,Moderately Safe,Yes,Art Exhibitions
Arunachal Pradesh,Rainy,High,44727,Cost Level: Low,Local Cuisine: 1247 INR per day,Luxury Resort: 3449 INR per night,"Ziro Valley, Tawang Monastery",Wildlife Safari,Low,4.2/5,Winter,"Hindi, English",Very Safe,Yes,Festival
